dates,Average daily temp (0F),Average daily admissions,,,
23/05/2013 - 29/05/2013,49.61,9,,,
20/06/2013 - 26/06/2013,57.39,7.142857143,,,
04/07/2013 - 10/07/2013,64.03,6.857142857,,,
11/07/2013 - 17/07/2013,67.11,6.857142857,,,
25/07/2013 - 31/07/2013,64.83,7.428571429,,,
01/08/2013 - 07/08/2013,63.77,8.285714286,,,
29/08/2013 - 04/09/2013,61.03,6.857142857,,,
12/09/2013 - 18/09/2013,52.11,8.714285714,,,
10/10/2013 - 16/10/2013,49.46,7.714285714,,,
31/10/2013 - 06/11/2013,45.96,9.571428571,,,
07/11/2013 - 13/11/2013,43.51,9.714285714,,,
21/11/2013 - 27/11/2013,40.97,10,,,
28/11/2013 - 04/12/2013,43.13,10,,,
05/12/2013 - 11/12/2013,42.31,9.714285714,,,
19/12/2013 - 25/12/2013,42.19,10,,,
26/12/2013 - 01/01/2014,41.64,9.571428571,,,
09/01/2014 - 15/01/2014,40.71,9,,,
16/01/2014 - 22/01/2014,40.74,9.142857143,,,
06/02/2014 - 12/02/2014,40.47,10,,,
13/02/2014 - 19/02/2014,42.29,8.428571429,,,
20/02/2014 - 26/02/2014,45.51,9.714285714,,,
27/02/2014 - 05/03/2014,40.67,9.285714286,,,
13/03/2014 - 19/03/2014,48.27,9.571428571,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
